group,benchmark,parameter,mean_ms,median_ms
cardinality,batched,128,8.9618,8.7556
cardinality,batched,2048,9.862,9.7154
cardinality,batched,32768,19.7652,19.6823
cardinality,batched,8,8.6097,8.584
cardinality,columnar-naive,128,15.6489,15.6645
cardinality,columnar-naive,2048,14.998,14.814
cardinality,columnar-naive,32768,31.2109,30.982
cardinality,columnar-naive,8,13.5588,13.473
cardinality,row-oriented,128,18.0379,17.9161
cardinality,row-oriented,2048,22.553,22.3347
cardinality,row-oriented,32768,50.6253,50.4799
cardinality,row-oriented,8,15.9069,15.7843
phases,hash_build-index,2048,5.527,5.2863
phases,hash_build-index,250000,29.5049,28.3729
phases,hash_build-index,8,5.5349,5.04
phases,hash_scatter-accumulate,2048,6.819,6.2245
phases,hash_scatter-accumulate,250000,44.6637,42.483
phases,hash_scatter-accumulate,8,6.0835,5.7336
phases,sort_aggregate-runs,2048,0.5843,0.5425
phases,sort_aggregate-runs,250000,7.2212,6.7558
phases,sort_aggregate-runs,8,0.5003,0.4909
phases,sort_sort-pairs,2048,20.4087,20.3508
phases,sort_sort-pairs,250000,34.9885,33.7099
phases,sort_sort-pairs,8,17.171,14.1915
row-count,batched,1000000,9.0563,9.0619
row-count,batched,250000,2.2399,2.214
row-count,batched,4000000,37.2409,37.2936
row-count,columnar-naive,1000000,13.7099,13.6668
row-count,columnar-naive,250000,3.4626,3.4332
row-count,columnar-naive,4000000,55.6912,55.689
row-count,row-oriented,1000000,17.1761,17.1731
row-count,row-oriented,250000,4.2301,4.1797
row-count,row-oriented,4000000,69.1679,68.731
selectivity,batched,1%,4.0253,4.0173
selectivity,batched,10%,6.6287,6.506
selectivity,batched,100%,14.0646,13.854
selectivity,batched,50%,11.1379,10.6001
selectivity,batched,90%,13.1412,13.0581
selectivity,columnar-naive,1%,3.4588,3.4454
selectivity,columnar-naive,10%,4.9578,4.8363
selectivity,columnar-naive,100%,20.1044,20.0443
selectivity,columnar-naive,50%,14.4046,14.1432
selectivity,columnar-naive,90%,18.7022,18.6172
selectivity,row-oriented,1%,3.5601,3.5321
selectivity,row-oriented,10%,9.8783,9.8861
selectivity,row-oriented,100%,21.5354,21.0236
selectivity,row-oriented,50%,17.4844,17.4312
selectivity,row-oriented,90%,20.5732,20.461
strategy,hash,128,9.9927,9.0084
strategy,hash,2048,12.3906,12.8817
strategy,hash,250000,79.9404,80.1538
strategy,hash,32768,22.6816,20.372
strategy,hash,8,8.739,8.5585
strategy,sort,128,29.0855,29.1555
strategy,sort,2048,32.8462,33.8487
strategy,sort,250000,70.319,70.1262
strategy,sort,32768,35.8706,35.6485
strategy,sort,8,21.819,20.6163
